22,ถั่วพู
22,แตงกวา
23,เต้าหู้ขาว
23,แตงกวา
23,หอมใหญ่
23,มะเขือเทศ
23,ผักกาดหอม
23,ต้นหอม
23,ใบผักชี
23,ขึ้นฉ่าย
23,ใบสะระแหน่
23,กระเทียม
23,วุ้นเส้น
23,ซีอิ๊วขาว
23,ซอสปรุงรส
23,เกลือสมุทร
23,น้ำตาลปี๊บ
23,นํ้าตาลทราย
23,ถั่วลิสง
23,นํ้ามะนาว
23,นํ้ากระเทียมดอง
23,พริกขี้หนู
24,เต้าหู้ดำ
24,เต้าหู้ขาว
24,ใบมะกรูด
24,ตะไคร้
24,หอมแดง
24,ผักชีฝรั่ง
24,ใบสะระแหน่
24,พริกขี้หนู
24,น้ำพริกเผา
24,น้ำปลา
24,น้ำตาลมะพร้าว
24,มะนาว
25,เต้าหู้ขาวแข็ง
25,น้ำมันมะกอก
25,น้ำตาลทราย
25,น้ำมะขามเปียก
25,เกลือสมุทร
25,พริกขี้หนู
25,ผักชี
26,มะเขือเทศ
26,ถั่วแระ
26,ถั่วชิกพี
26,แตงกวา
26,ใบโหระพา
26,น้ำมันมะกอก
26,เม็ดมะม่วงหิมพานต์อบ
26,น้ำเลมอนหรือน้ำมะนาว
26,เกลือสมุทร
26,พริกไทย
27,ไข่ไก่
27,หอมแดง
27,ตะไคร้
27,ใบมะกรูด
27,พริกขี้หนู
27,ต้นหอม
27,ผักชี
27,ใบสะระแหน่
27,น้ำพริกเผาต้มยำ
27,น้ำปลา
27,น้ำตาลทราย
27,น้ำมะนาว
27,น้ำมันพืช
28,พาสต้า
28,มะเขือม่วง
28,มะเขือเทศ
28,ใบโหระพา
28,น้ำมันมะกอก
28,หอมแดง
28,เลมอน
29,บะหมี่ไข่
29,นมสด
29,น้ำเปล่า
29,ข่า
29,ตะไคร้
29,ใบมะกรูด
29,หอมแดง
29,เห็ดนางฟ้า
29,แครอต
29,ถั่วลันเตา
29,น้ำพริกเผาสูตรเจ
29,ซอสปรุงรส
29,เกลือป่น
29,น้ำมะนาว
29,พริกขี้หนู
29,ผักชี
29,น้ำเปล่า
30,เส้นสปาเกตตี
30,น้ำมันมะกอก
30,กระเทียมสับ
30,บัตเตอร์
30,ปวยเล้ง
30,พริกป่น
30,เลมอน
30,เกลือ
30,พริกไทย
30,วอลนัท
31,เห็ดนางฟ้า
31,ไข่ไก่
31,ตะไคร้
31,หอมแดง
31,พริกแดงจินดา
31,ใบแมงลัก
31,ใบมะกรูดซอย
31,น้ำปลา
32,แป้งเกี๊ยว
32,วุ้นเส้น
32,กะหล่ำปลี
32,แครอท
32,เห็ดหอม
32,ซีอิ๊วขาว
32,น้ำมันงา
32,น้ำมันพืช
33,หมูกรอบเจ
33,พริกแห้ง
33,ผักคะน้า
33,กระเทียม
33,หอมแดง
33,ซอสเห็ดหอม
33,น้ำปลาเจ
34,เต้าหู้ขาว
34,เห็ดหูหนู
34,ข้าวคั่ว
34,ซีอิ๊วขาว
34,ซอสถั่วเหลือง
34,พริกป่น
34,มะนาว
34,ต้นหอม
34,ผักชีฝรั่ง
34,สะระแหน่
35,หน่อไม้ฝรั่ง
35,เห็ดชิเมจิดำ
35,แครอท
35,มะเขือเทศ
35,ข้าวโพดอ่อน
35,กระเทียม
35,เครื่องปรุง
35,น้ำมันหอย (Low sodium)
